1.77237e-07 	3.74897e-01 	3.74897e+05 	
9.52819e-08 	4.05192e-01 	2.02596e+05 	
6.62659e-08 	4.23641e-01 	1.41214e+05 	
5.12181e-08 	4.37134e-01 	1.09283e+05 	
4.19498e-08 	4.47866e-01 	8.95732e+04 	
3.56429e-08 	4.56829e-01 	7.61381e+04 	
3.10611e-08 	4.64558e-01 	6.63654e+04 	
2.75755e-08 	4.71373e-01 	5.89217e+04 	
2.48315e-08 	4.77487e-01 	5.30541e+04 	
2.26121e-08 	4.83282e-01 	4.83282e+04 	
8.62118e-09 	5.47424e-01 	1.82475e+04 	
5.56775e-09 	5.82923e-01 	1.16585e+04 	
4.19632e-09 	6.09180e-01 	8.70257e+03 	
3.40795e-09 	6.30641e-01 	7.00713e+03 	
2.89224e-09 	6.49126e-01 	5.90114e+03 	
2.52676e-09 	6.65551e-01 	5.11963e+03 	
2.25326e-09 	6.80458e-01 	4.53639e+03 	
2.04028e-09 	6.94200e-01 	4.08353e+03 	
1.86938e-09 	7.07009e-01 	3.72110e+03 	
1.72898e-09 	7.19300e-01 	3.42524e+03 	
