6.62104e-07 	3.35476e-01 	3.35476e+05 	
3.66823e-07 	3.64127e-01 	1.82063e+05 	
2.60241e-07 	3.81363e-01 	1.27121e+05 	
2.04142e-07 	3.93857e-01 	9.84643e+04 	
1.69169e-07 	4.03723e-01 	8.07445e+04 	
1.45133e-07 	4.11907e-01 	6.86511e+04 	
1.27513e-07 	4.18922e-01 	5.98460e+04 	
1.14005e-07 	4.25074e-01 	5.31343e+04 	
1.03293e-07 	4.30563e-01 	4.78403e+04 	
9.45757e-08 	4.36045e-01 	4.36045e+04 	
3.79195e-08 	4.91268e-01 	1.63756e+04 	
2.49199e-08 	5.20279e-01 	1.04056e+04 	
1.89547e-08 	5.41061e-01 	7.72944e+03 	
1.54805e-08 	5.57658e-01 	6.19620e+03 	
1.31879e-08 	5.71682e-01 	5.19711e+03 	
1.15524e-08 	5.83948e-01 	4.49191e+03 	
1.03216e-08 	5.94938e-01 	3.96625e+03 	
9.35893e-09 	6.04941e-01 	3.55848e+03 	
8.58400e-09 	6.14165e-01 	3.23245e+03 	
7.94476e-09 	6.23358e-01 	2.96837e+03 	
